bin,n,p_min,p_max,mean_pred,empirical_rate,abs_gap,group_var,group
0,104100,0.0,0.06666666666666667,0.00727497508080825,0.00846301633045149,0.0011880412496432392,gender,F
1,501,0.06666666666666667,0.13333333333333333,0.0884881605455795,0.08383233532934131,0.0046558252162381825,gender,F
2,128,0.13333333333333333,0.2,0.1623939519980994,0.0390625,0.12333145199809939,gender,F
3,67,0.2,0.26666666666666666,0.23418713323976673,0.05970149253731343,0.1744856407024533,gender,F
4,50,0.26666666666666666,0.3333333333333333,0.2973995624386285,0.06,0.23739956243862848,gender,F
5,28,0.3333333333333333,0.4,0.3620450575436518,0.21428571428571427,0.14775934325793752,gender,F
6,23,0.4,0.4666666666666667,0.4313966528536858,0.13043478260869565,0.3009618702449901,gender,F
7,12,0.4666666666666667,0.5333333333333333,0.49908242494703786,0.0,0.49908242494703786,gender,F
8,10,0.5333333333333333,0.6,0.5545996892878895,0.4,0.15459968928788947,gender,F
9,3,0.6,0.6666666666666666,0.6246080298812424,0.3333333333333333,0.2912746965479091,gender,F
10,2,0.6666666666666666,0.7333333333333333,0.6901956344337112,0.0,0.6901956344337112,gender,F
11,0,0.7333333333333333,0.8,,,,gender,F
12,0,0.8,0.8666666666666667,,,,gender,F
13,0,0.8666666666666667,0.9333333333333333,,,,gender,F
14,0,0.9333333333333333,1.0,,,,gender,F
0,126211,0.0,0.06666666666666667,0.008011644171066576,0.009183034759252364,0.0011713905881857879,gender,M
1,762,0.06666666666666667,0.13333333333333333,0.08845783140336498,0.08792650918635171,0.0005313222170132692,gender,M
2,199,0.13333333333333333,0.2,0.16366343281998266,0.07537688442211055,0.08828654839787212,gender,M
3,101,0.2,0.26666666666666666,0.2318718267289736,0.039603960396039604,0.192267866332934,gender,M
4,76,0.26666666666666666,0.3333333333333333,0.2984598853686725,0.05263157894736842,0.2458283064213041,gender,M
5,51,0.3333333333333333,0.4,0.36707563970526436,0.0784313725490196,0.28864426715624475,gender,M
6,39,0.4,0.4666666666666667,0.43247211361692184,0.07692307692307693,0.3555490366938449,gender,M
7,28,0.4666666666666667,0.5333333333333333,0.4951864109173939,0.10714285714285714,0.38804355377453675,gender,M
8,13,0.5333333333333333,0.6,0.5647803253797969,0.23076923076923078,0.33401109461056616,gender,M
9,6,0.6,0.6666666666666666,0.632878264245855,0.3333333333333333,0.2995449309125217,gender,M
10,6,0.6666666666666666,0.7333333333333333,0.6895558719982388,0.3333333333333333,0.35622253866490544,gender,M
11,1,0.7333333333333333,0.8,0.7577341266149553,1.0,0.24226587338504468,gender,M
12,0,0.8,0.8666666666666667,,,,gender,M
13,0,0.8666666666666667,0.9333333333333333,,,,gender,M
14,0,0.9333333333333333,1.0,,,,gender,M
