horizon,delta_gap
T_policy,-0.0004821298831066967
T_policy,-0.0004555432058376274
T_policy,-0.0004949728083518679
T_policy,-0.00036636020493663324
T_policy,-0.0005285580469515105
T_policy,-0.0005970661867623628
T_policy,-0.0005474586017966132
T_policy,-0.0005084102091267306
T_policy,-0.0005264987029715007
T_policy,-0.0005096152752476213
T_policy,-0.0004920922808883121
T_policy,-0.00033020140275785703
T_policy,-0.0005114362699784047
T_policy,-0.0005852450358114769
T_policy,-0.0002830104017704782
T_policy,-0.00047688817865199074
T_policy,-0.0005392108542767726
T_policy,-0.0005528745343322816
T_policy,-0.00041149931910855475
T_policy,-0.0006286756507397628
T_policy,-0.00047339496747533794
T_policy,-0.0005366637161265952
T_policy,-0.0005045043433620222
T_policy,-0.0006288418391322548
T_policy,-0.00054781690034722
T_policy,-0.0005564810681880639
T_policy,-0.000468908354365527
T_policy,-0.00057418862363523
T_policy,-0.000674342518492077
T_policy,-0.0006625534317502568
T_policy,-0.0005102866473616352
T_policy,-0.0005370754989907356
T_policy,-0.0005437585143491797
T_policy,-0.00043666518220586426
T_policy,-0.00046356143156778273
T_policy,-0.00056488273637334
T_policy,-0.0006968139887356672
T_policy,-0.0005040999272655222
T_policy,-0.00041281963402328703
T_policy,-0.0005229789277177987
T_policy,-0.0005725479535032552
T_policy,-0.0004407846636236279
T_policy,-0.0005367726291304331
T_policy,-0.00043461787957266296
T_policy,-0.0005739465303580271
T_policy,-0.0004671141842239601
T_policy,-0.0005790947255278622
T_policy,-0.0004908863371302363
T_policy,-0.0002675406909293798
T_policy,-0.0004497715462663532
T_policy,-0.00041582405703066705
T_policy,-0.0005257229551923759
T_policy,-0.0005785552015760143
T_policy,-0.0005629513055087632
T_policy,-0.0006675841046811515
T_policy,-0.00047994668645723326
T_policy,-0.0006614474860019426
T_policy,-0.0004538749819343879
T_policy,-0.0003376013340640194
T_policy,-0.0003509623157313957
T_policy,-0.0004434795243447587
T_policy,-0.0006024345454009872
T_policy,-0.0005737170647928114
T_policy,-0.00038665469915100115
T_policy,-0.0005409851668670695
T_policy,-0.0006990661110608531
T_policy,-0.0005599327349299354
T_policy,-0.0005235966529668623
T_policy,-0.0005136161571700493
T_policy,-0.0003508865689533236
T_policy,-0.0004796764370493811
