delta_gap_Tpolicy,delta_gap_Teval
-0.0004821298831066967,-0.0005618571680254814
-0.0004555432058376274,-0.0004584787755909092
-0.0004949728083518679,-0.0005801530127100829
-0.00036636020493663324,-0.0005968256755495283
-0.0005285580469515105,-0.0006075587741138921
-0.0005970661867623628,-0.0005834442292477204
-0.0005474586017966132,-0.0006212058651483554
-0.0005084102091267306,-0.000557867643613652
-0.0005264987029715007,-0.0005195459736747621
-0.0005096152752476213,-0.0006591726622110494
-0.0004920922808883121,-0.0004313527928542227
-0.00033020140275785703,-0.0005779982719656962
-0.0005114362699784047,-0.0005554694228788737
-0.0005852450358114769,-0.0005214481038983143
-0.0002830104017704782,-0.0005779775227006123
-0.00047688817865199074,-0.0006670809467742567
-0.0005392108542767726,-0.0006118632161216109
-0.0005528745343322816,-0.0004998530553802505
-0.00041149931910855475,-0.0006265494259416471
-0.0006286756507397628,-0.0005384543902537953
-0.00047339496747533794,-0.0006270448566452202
-0.0005366637161265952,-0.0006480001450206441
-0.0005045043433620222,-0.0005083948264926752
-0.0006288418391322548,-0.0005057685641040033
-0.00054781690034722,-0.0005725872181938652
-0.0005564810681880639,-0.0005240019283102582
-0.000468908354365527,-0.000513260122286141
-0.00057418862363523,-0.0006091244523054318
-0.000674342518492077,-0.00041047943655636576
-0.0006625534317502568,-0.0005341609110334211
-0.0005102866473616352,-0.0005306121110334461
-0.0005370754989907356,-0.0006015155003585848
-0.0005437585143491797,-0.0005104923293415276
-0.00043666518220586426,-0.000496181844378607
-0.00046356143156778273,-0.0006703158623238004
-0.00056488273637334,-0.0005857201310669469
-0.0006968139887356672,-0.0005442094045046142
-0.0005040999272655222,-0.0005623475873620665
-0.00041281963402328703,-0.0005596997121252167
-0.0005229789277177987,-0.0005531160402978408
-0.0005725479535032552,-0.0006932489537105901
-0.0004407846636236279,-0.0006147938017024845
-0.0005367726291304331,-0.0005554837611537744
-0.00043461787957266296,-0.0005117339863164316
-0.0005739465303580271,-0.0006389401331740041
-0.0004671141842239601,-0.0004854252975040607
-0.0005790947255278622,-0.0005716398368970088
-0.0004908863371302363,-0.0006433497838636004
-0.0002675406909293798,-0.0005243035109711025
-0.0004497715462663532,-0.0005874495791985401
-0.00041582405703066705,-0.0005799202436936879
-0.0005257229551923759,-0.0005965243808145893
-0.0005785552015760143,-0.0005566566687404961
-0.0005629513055087632,-0.0006091648082732215
-0.0006675841046811515,-0.0006415285562993978
-0.00047994668645723326,-0.0006221849074558028
-0.0006614474860019426,-0.000582107575202051
-0.0004538749819343879,-0.0005566527043017189
-0.0003376013340640194,-0.0005795637768832851
-0.0003509623157313957,-0.0005963243772580951
-0.0004434795243447587,-0.0005220065041686706
-0.0006024345454009872,-0.0005277977200048856
-0.0005737170647928114,-0.0006753654727014169
-0.00038665469915100115,-0.0005192885399102343
-0.0005409851668670695,-0.0005465114546189254
-0.0006990661110608531,-0.00044677620806710117
-0.0005599327349299354,-0.00039821709161924623
-0.0005235966529668623,-0.0005690119888278611
-0.0005136161571700493,-0.0005419403720590132
-0.0003508865689533236,-0.00043053313059537857
-0.0004796764370493811,-0.0006356355245387135
-0.0004570585782202041,-0.0005322010542639921
-0.0005094830374655634,-0.0004468846228318224
-0.0004866718799567682,-0.0006526992197436465
-0.0005225505416879273,-0.0006468225975250208
-0.0006330625484815,-0.0005429008284414394
-0.0005234643923547333,-0.0006227650502074189
-0.0004482494261537351,-0.0005796031222710107
-0.0005383399895181329,-0.0006329930821571406
-0.000454071743678619,-0.0003968124489607261
-0.00048358693909844597,-0.00047216552398421374
-0.0005209452643742951,-0.0006014514821180983
