week,deltaS_mech
0,-0.0020760388712421918
1,-0.006194750577711794
2,-0.005367638435114119
3,-0.005380438941019805
4,-0.006237708529409081
5,-0.0056968452433088235
6,-0.004860102329564131
7,-0.00479865546624525
8,-0.005626201974476497
9,-0.005850018232894438
10,-0.006915753739558883
11,-0.006441409125426567
12,-0.006030450853476421
13,-0.006315278550432013
14,-0.0063768929820834375
15,-0.006780431496588912
16,-0.007493808523004297
17,-0.00769710918218558
18,-0.007766232810251017
19,-0.008141309899580507
20,-0.008177560239068016
21,-0.008533061519355734
22,-0.00918073462403246
23,-0.009380124046247329
24,-0.009838778825520755
25,-0.010137211045482153
26,-0.01046753361469166
27,-0.010582201812876724
28,-0.010835692113066675
29,-0.011084416439306466
30,-0.011513980112173083
31,-0.011795350410857885
32,-0.011900273390081373
33,-0.012101079761313138
34,-0.011669575582338942
35,-0.012009062195807996
36,-0.012287076925960427
37,-0.012619652661684855
38,-0.013352078702787873
