r_star,W,decay_type,alpha_week0,alpha_week1,T_eval,T_eval_policy,T_policy,S0_Teval,S0_Tpolicy,S_shock_Teval,S_shock_Tpolicy,S_mech_Teval,S_mech_Tpolicy,deltaS_shock_Teval,deltaS_shock_Tpolicy,deltaS_mech_Teval,deltaS_mech_Tpolicy,support_n_events_at_Tpolicy,support_n_events_cum_leq_Tpolicy,support_n_at_risk_Tpolicy,support_n_events_at_Teval,support_n_events_cum_leq_Teval,support_n_at_risk_Teval
2,1,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8683989646216916,0.8566336362313867,0.868945955430695,0.8575716919817595,0.0006941501206515488,0.0012004231682716249,0.0012411409296548825,0.002138478918644493,167,5452,21255,0,7386,1575
2,1,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8683989646216916,0.8566336362313867,0.868945955430695,0.8575716919817595,0.0006941501206515488,0.0012004231682716249,0.0012411409296548825,0.002138478918644493,167,5452,21255,0,7386,1575
2,1,flat,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8683989646216916,0.8566336362313867,0.868945955430695,0.8575716919817595,0.0006941501206515488,0.0012004231682716249,0.0012411409296548825,0.002138478918644493,167,5452,21255,0,7386,1575
2,1,exp,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8683989646216916,0.8566336362313867,0.868945955430695,0.8575716919817595,0.0006941501206515488,0.0012004231682716249,0.0012411409296548825,0.002138478918644493,167,5452,21255,0,7386,1575
2,1,flat,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8683989646216916,0.8566336362313867,0.868945955430695,0.8575716919817595,0.0006941501206515488,0.0012004231682716249,0.0012411409296548825,0.002138478918644493,167,5452,21255,0,7386,1575
2,1,exp,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8683989646216916,0.8566336362313867,0.868945955430695,0.8575716919817595,0.0006941501206515488,0.0012004231682716249,0.0012411409296548825,0.002138478918644493,167,5452,21255,0,7386,1575
2,1,flat,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8683989646216916,0.8566336362313867,0.868945955430695,0.8575716919817595,0.0006941501206515488,0.0012004231682716249,0.0012411409296548825,0.002138478918644493,167,5452,21255,0,7386,1575
2,1,exp,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8683989646216916,0.8566336362313867,0.868945955430695,0.8575716919817595,0.0006941501206515488,0.0012004231682716249,0.0012411409296548825,0.002138478918644493,167,5452,21255,0,7386,1575
2,2,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8688997928733293,0.8574798211417122,0.8696515003179784,0.8588927811896075,0.0011949783722892127,0.002046608078597134,0.0019466858169383539,0.003459568126492507,167,5452,21255,0,7386,1575
2,2,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8688997928733293,0.8574798211417122,0.8696396442962505,0.8588790787807402,0.0011949783722892127,0.002046608078597134,0.0019348297952104243,0.003445865717625174,167,5452,21255,0,7386,1575
2,2,flat,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8688997928733293,0.8574798211417122,0.8696678259860006,0.8589116680400821,0.0011949783722892127,0.002046608078597134,0.001963011484960475,0.0034784549769670825,167,5452,21255,0,7386,1575
2,2,exp,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8688997928733293,0.8574798211417122,0.869644770270862,0.8588850016818322,0.0011949783722892127,0.002046608078597134,0.0019399557698218661,0.0034517886187171998,167,5452,21255,0,7386,1575
2,2,flat,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8688997928733293,0.8574798211417122,0.8696834817951448,0.8589298012819467,0.0011949783722892127,0.002046608078597134,0.0019786672941046746,0.0034965882188316977,167,5452,21255,0,7386,1575
2,2,exp,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8688997928733293,0.8574798211417122,0.8696498288281911,0.8588908487146332,0.0011949783722892127,0.002046608078597134,0.0019450143271509956,0.0034576356515181317,167,5452,21255,0,7386,1575
2,2,flat,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8688997928733293,0.8574798211417122,0.869712975807433,0.8589640221020217,0.0011949783722892127,0.002046608078597134,0.0020081613063929193,0.0035308090389066793,167,5452,21255,0,7386,1575
2,2,exp,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8688997928733293,0.8574798211417122,0.8696597502007586,0.8589023225445785,0.0011949783722892127,0.002046608078597134,0.0019549356997184963,0.003469109481463506,167,5452,21255,0,7386,1575
2,3,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8692983832225901,0.8582398717725627,0.8701205542645971,0.860008456214412,0.0015935687215500316,0.002806658709447629,0.0024157397635570232,0.0045752431512969816,167,5452,21255,0,7386,1575
2,3,exp,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8692983832225901,0.8582398717725627,0.8700886952774582,0.8599750265952861,0.0015935687215500316,0.002806658709447629,0.002383880776418157,0.004541813532171091,167,5452,21255,0,7386,1575
2,3,flat,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8692983832225901,0.8582398717725627,0.8701576408623634,0.8600481500241517,0.0015935687215500316,0.002806658709447629,0.002452826361323268,0.004614936961036653,167,5452,21255,0,7386,1575
2,3,exp,0.2,0.06,38,38,18,0.8677048145010401,0.855433213063115,0.8692983832225901,0.8582398717725627,0.8700958515305349,0.8599829394923372,0.0015935687215500316,0.002806658709447629,0.0023910370294948358,0.004549726429222134,167,5452,21255,0,7386,1575
2,3,flat,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8692983832225901,0.8582398717725627,0.8701928966807092,0.8600862414039723,0.0015935687215500316,0.002806658709447629,0.0024880821796691155,0.004653028340857235,167,5452,21255,0,7386,1575
2,3,exp,0.3,0.09,38,38,18,0.8677048145010401,0.855433213063115,0.8692983832225901,0.8582398717725627,0.8701029291261461,0.8599907686054951,0.0015935687215500316,0.002806658709447629,0.0023981146251059737,0.004557555542380021,167,5452,21255,0,7386,1575
2,3,flat,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8692983832225901,0.8582398717725627,0.8702585205733937,0.8601580712465408,0.0015935687215500316,0.002806658709447629,0.002553706072353612,0.0047248581834257175,167,5452,21255,0,7386,1575
2,3,exp,0.5,0.15,38,38,18,0.8677048145010401,0.855433213063115,0.8692983832225901,0.8582398717725627,0.8701168552727067,0.8600061830796608,0.0015935687215500316,0.002806658709447629,0.002412040771666568,0.004572970016545774,167,5452,21255,0,7386,1575
3,1,flat,0.1,0.03,38,38,18,0.8677048145010401,0.855433213063115,0.8681122767511437,0.8561538026638116,0.8686509057387463,0.8571027119702942,0.00040746225010357406,0.0007205896006965418,0.0009460912377061703,0.0016694989071791566,167,5452,21255,0,7386,1575
